1;https://productcenter.ru/producers/22334/ooo-palanzh;Российский завод полимерных труб Паланж;Пресс-фитинг угольник Palanzh (Паланж);Пресс-фитинг тройник Palanzh (Паланж);Пресс-фитинг прямой Palanzh (Паланж);Труба из термостойкого полиэтилена Pert;Металлопластиковая труба Pex-al-Pex Palanzh;Труба из сшитого полиэтилена Pex Palanzh;Металлопластиковая труба Pert-al-Pert Palanzh;0;0;0
108;https://productcenter.ru/producers/23000/kolos;Компания «ЮжУралПром», г.Миасс;Зернодробилка роторная;0;0;0;0;0;0;0;0;0
109;https://productcenter.ru/producers/20486/ip-skachkov-a-a-proffmiebiel;Фабрика мебели «PROFFмебель»;Полка 3го ряда в ЛАДА Ларгус всех поколений;0;0;0;0;0;0;0;0;0
110;https://productcenter.ru/producers/18390/tatis;Татис;Арахисовая паста Татис;0;0;0;0;0;0;0;0;0
111;https://productcenter.ru/producers/18056/kopieiskii-plastik;Копейский пластик;Высокобарьерная пленка, вакуумные пакеты,;0;0;0;0;0;0;0;0;0
112;https://productcenter.ru/producers/16528/svietorika-proizvodstvo-svietodiodnykh-svietilnikov;Производитель светильников «Светорика»;Офисные светодиодные светильники;Светильники промышленные светодиодные;Уличные светодиодные светильники;0;0;0;0;0;0;0
113;https://productcenter.ru/producers/15930/chieliabinskii-maslozavod-kosov;Челябинский Маслозавод «КОСОВ». Производитель;Маргарин, Масло растительно-сливочное, Спреды;0;0;0;0;0;0;0;0;0
114;https://productcenter.ru/producers/15839/ooo-zhieldorprom;ООО Желдорпром, г.Челябинск;Горки;Качели;Детский игровой комплекс;0;0;0;0;0;0;0
115;https://productcenter.ru/producers/15669/ooo-mt-produkt;ООО «МТ-ПРОДУКТ»;Кисель по ГОСТ;0;0;0;0;0;0;0;0;0
116;https://productcenter.ru/producers/14738/zuz;ООО ЗлатУралЗапчасть;Колесные проставки;0;0;0;0;0;0;0;0;0
117;https://productcenter.ru/producers/13999/ooo-pk-uralskii-lidier;ООО ПК «Уральский Лидер»;Арахис в хрустящей корочке в упаковке;Арахис в хрустящей корочке ХрустOk;Ядро подсолнечника в хрустящей корочке Хруст NUT;Хрустящий жареный арахис крупного калибра ХрустNUT;Арахис в хрустящей корочке Хруст NUT;0;0;0;0;0
118;https://productcenter.ru/producers/13287/studiia-sportivnoi-odiezhdy-rommax-rommaks;Производитель спортивной одежды ROMMAX;Футболки для футбола;Утепленные спортивные куртки;Кимоно для единоборств;0;0;0;0;0;0;0
119;https://productcenter.ru/producers/12576/ozierskii-zavod-eniergoustanovok;«Озерский завод энергоустановок»;Стеновые сэндвич-панели;Кровельные сэндвич-панели;Трубы стальные футерованные;0;0;0;0;0;0;0
120;https://productcenter.ru/producers/12214/prodovolstviennaia-gruppa-russkii-khlieb;Продовольственная группа «Русский Хлеб»;Вафельные батончики «Батут»;Слойки замороженные «Моменталь»;Мягкое прямоугольное сахарное печенье;0;0;0;0;0;0;0
121;https://productcenter.ru/producers/11929/konditierskaia-fabrika-pirozhnykh-zviezdy-sieviera;Кондитерская фабрика пирожных «Звезды Севера»;Пирожные коллекции «Уральские самоцветы»;Кексы с начинкой;Бисквитные рулеты с кремом;0;0;0;0;0;0;0
122;https://productcenter.ru/producers/11599/kompaniia-kranovyie-tiekhnologii;Компания «Крановые технологии»;Портальные краны-погрузчики TDKP;Нижеповоротные рельсовые краны;Безоголовочные башенные краны TDK;0;0;0;0;0;0;0
123;https://productcenter.ru/producers/10149/konditierskaia-fabrika-kolos;Кондитерская фабрика «Колос»;Драже в глазури;Печенье слоенное со вкусами;Кексы с начинкой;0;0;0;0;0;0;0
124;https://productcenter.ru/producers/9899/ooo-ptk-soiuz-polimier;Производственно-торговая компания «Союз-Полимер»;Пакеты «майка» ПНД;Плёнка для овощей и фруктов;Плёнка для сыпучих продуктов;0;0;0;0;0;0;0
125;https://productcenter.ru/producers/9586/zavod-piramida;ООО «Пирамида», Alterm;Тепловая пушка СФО 25 кВт;Электрокотел для отопления  3 кВт;Электрические печи ПЭТ;Электрокаменка для сауны 9 кВт;Электрокотел для отопления 6 кВт;0;0;0;0;0
126;https://productcenter.ru/producers/9376/zavod-ekologichieskikh-pokrytii;Завод экологических покрытий, г.Челябинск;АНТИСКОЛЬЗЯЩЕЕ РЕЗИНОВОЕ ПОКРЫТИЕ;Покрытия из резиновой шинной крошки;Травмобезопасное покрытие из резиновой шинной крошки;0;0;0;0;0;0;0
127;https://productcenter.ru/producers/7450/madam-priazhkina;Фабрика «Мадам Пряжкина»;Пряжки для платков;Муфты для шарфов;Шарф-дуэт «Шифон»;0;0;0;0;0;0;0
128;https://productcenter.ru/producers/6981/ooo-midan;ООО «Мидан»;линия обвалки грудки куриной;пресс механической обвалки мяса птицы ПТИЦЕРОН-400;Пресс механической обвалки ПТИЦЕРОН (кур, индейки,;Фаршемешалка Мешаня;Линия разделки птицы ЛРП-3000;0;0;0;0;0
129;https://productcenter.ru/producers/6549/m-fabrika-fabrika-motorin;М-Фабрика (Фабрика Моторин);Бочонок сувенирный под алкоголь;Нарды из массива дерева с инкрустацией;Чайный сундучок из дерева;0;0;0;0;0;0;0
130;https://productcenter.ru/producers/6544/kaslinskii-zavod-khudozhiestviennogo-litia-kzakhl;Каслинский завод архитектурно-художественного литья;Садовая и парковая мебель из чугунного литья;Каминные принадлежности и дровницы;Торшеры чугунные для уличного освещения;0;0;0;0;0;0;0
131;https://productcenter.ru/producers/6528/kompaniia-proffmastier;Компания «Проффмастер»;Одежда для медицинских сотрудников;Одежда для охранных структур;Костюм брезентовый (куртка + брюки);0;0;0;0;0;0;0
132;https://productcenter.ru/producers/6353/ooo-emal;ООО «Эмаль»;Эмалированные кружки с крышками;Металлические эмалированные кофейники;Эмалированные двухлитровые кастрюли;0;0;0;0;0;0;0
133;https://productcenter.ru/producers/6298/fabrika-uralskiie-pielmieni;Фабрика «Уральские пельмени»;Продукты для пикника;Пельмени натуральные весовые;Вареники ТМ «Братцы Вареники»;0;0;0;0;0;0;0
134;https://productcenter.ru/producers/5328/vishnievogorskaia-konditierskaia-fabrika;Вишневогорская кондитерская фабрика;Конфеты суфле в шоколадной глазури;Конфеты пралине с фруктозой;Халва арахисовая на фруктозе;0;0;0;0;0;0;0
135;https://productcenter.ru/producers/5186/kompaniia-viteks;Компания «Витэкс»;Пюре быстрого приготовления в мягкой упаковке;Кисель быстрого приготовления;Воздушная кукуруза быстрого приготовления;0;0;0;0;0;0;0
136;https://productcenter.ru/producers/4829/ooo-pmi-td;ООО «ПМИ-ТД»;Баки оцинкованные с крышкой;Кровати металлические для учреждений;Стулья на металлокаркасе;0;0;0;0;0;0;0
137;https://productcenter.ru/producers/4756/kompaniia-sitno;Компания «СИТНО»;Вафельные торты в картонной коробке;Питьевое топленое и пастеризованное молоко;Макаронные изделия «Ситно»;0;0;0;0;0;0;0
138;https://productcenter.ru/producers/3788/ooo-vieranzh;ООО «Веранж»;Комбинезоны для новорожденных;Ползунки;Распашонки;0;0;0;0;0;0;0
139;https://productcenter.ru/producers/1257/oao-chzpsn-profnastil;ПАО «ЧЗПСН-Профнастил«, г.Челябинск;Быстровозводимые здания из металлоконструкций;Сэндвич-панели с МВУ;Металлочерепица Монтеррей и Испанская дюна;Блок-контейнеры и модульные здания;Стальные трубчатые конструкции;0;0;0;0;0
140;https://productcenter.ru/producers/6299/kompaniia-lorena-kukhni;Компания «LORENA кухни»;Мебель для кухни «Городская классика»;Кухонные гарнитуры «Классика»;Кухонная мебель в стиле «Модерн»;0;0;0;0;0;0;0
141;https://productcenter.ru/producers/5643/trikotazhnaia-fabrika-ian;Трикотажная фабрика «Ян»;Мужские майки и футболки;Женские жакеты и жилеты;Детские капри и леггинсы;0;0;0;0;0;0;0
142;https://productcenter.ru/producers/16687/ooo-uralskaia-mietalloobrabatyvaiushchaia-kompaniia;«Уральская металлообрабатывающая компания»;Профиль стальной фасадный;Лента стальная упаковочная по ГОСТ;Труба электросварная прямошовная;0;0;0;0;0;0;0
143;https://productcenter.ru/producers/15694/ooo-soiuz-pakiet;Компания «Союз Пакет»;Полиэтиленовая плёнка ПНД и ПВД;Полиэтиленовые мешки для мусора;Полиэтиленовые пакеты «Майка»;0;0;0;0;0;0;0
144;https://productcenter.ru/producers/8951/tessera;Компания «Tessera»;Колпак на заборный столб(гибкая черепица);Колпак на заборный столб(без рисунка);Ступени композитные сборные;тротуарная плитка;Тротуарная плитка полимерпесчаная;0;0;0;0;0
145;https://productcenter.ru/producers/30887/sirius;СИРИУС;Модульный диван «Инфинити» от ФМ «СИРИУС»;Кухонные диваны фабрики «СИРИУС»;Модульные диваны фабрики «СИРИУС»;Прямые  диваны фабрики «СИРИУС»;Угловые диваны фабрики «СИРИУС»;0;0;0;0;0
146;https://productcenter.ru/producers/29267/ip-tiutiunnikov-iu-iu;ИП Тютюнников Ю.Ю, г.Челябинск;намордники;Ошейники;0;0;0;0;0;0;0;0
147;https://productcenter.ru/producers/28821/tm-plast-tec;ТМ «Plast-Tec»;Метла наборная полипропиленовая;Черенок композитный 32 и 25 мм для лопат и мётел.;Лопата снеговая ОПТИМА;0;0;0;0;0;0;0
148;https://productcenter.ru/producers/23710/ooo-poliarnaia-ptitsa;ООО Полярная Птица;Маска многоразовая анатомическая;Антиви+ (100мл);0;0;0;0;0;0;0;0
149;https://productcenter.ru/producers/23540/ooo-favorit;ООО «ФАВОРИТ»;Ягоды сублимированные (порошок);Растительный протеин в ассортименте;Рисовое масло-1л;Конопляное масло 250мл;Ядра семян конопли (очищенные семена)-250гр;0;0;0;0;0
150;https://productcenter.ru/producers/17375/ooo-zavod-tiazhielykh-mashin;ООО «Завод тяжелых машин»;ППМ 410;ХАНТ 8051H;ХАНТ 8051S5;0;0;0;0;0;0;0
151;https://productcenter.ru/producers/16012/ooo-mastierskiie-zlatousta;ООО «Мастерские Златоуста«;Украшенная посуда;Подарки для компаний (юбилеи, памятные даты );Сувенирное оружие;0;0;0;0;0;0;0
152;https://productcenter.ru/producers/12929/ooo-also;ООО «АЛСО», г.Челябинск;КРАНЫ шаровые ALSO в антивандальном исполнении;краны шаровые;0;0;0;0;0;0;0;0
153;https://productcenter.ru/producers/8094/fabrika-shnurov-aaa-tieks;Фабрика шнуров «ААА ТЕКС»;Шнуры вязаные эластичные;Тросы кевларовые арамидные;Верёвки статические «Высота»;0;0;0;0;0;0;0
154;https://productcenter.ru/producers/7962/proizvoditiel-apparatov-dlia-domashniego-konsiervirovaniia-apm;Производитель аппаратов для домашнего консервирования «АПМ», г.Челябинск;автоклав для домашнего консервирования;Автоклав для консервирования +дистиллятор 2в1 Арома;Автоклав для консервирования с мультикассетой;0;0;0;0;0;0;0
155;https://productcenter.ru/producers/6660/ooo-kozhievienno-obuvnaia-kompaniia;ООО «Кожевенно Обувная Компания»;Мужские полуботинки из натуральной кожи;Рабочие ботинки и полуботинки из натуральной кожи;Ботинки рабочие с высоким берцем;0;0;0;0;0;0;0
156;https://productcenter.ru/producers/2568/shvieinoie-priedpriiatiie-virgi-style;Фабрика женской одежды «Virgi Style»;Тренч классический ТМ «Virgi Style»;Льняные летние платья;Блузки из вязаного трикотажа;0;0;0;0;0;0;0
157;https://productcenter.ru/producers/1889/magnitogorskaia-obuvnaia-fabrika;Обувная Фабрика «ФОМА«, г.Магнитогорск;Унтоваленки 33358*;Унтоваленки 23495;Валенки детские артикул 16619;Унтоваленки  23454;Валенки артикул -16748*;Валенки 16749*;Валенки 16750*;Унтоваленки 23405*;Арт - 36387 «Осень 2017»;Арт - 36412 «Осень 2017»
158;https://productcenter.ru/producers/30634/ooo-briz;ООО БРИЗ;Кресло-пульт крановый;Кабина башенного крана;Кабина козлового крана;Кабина мостового крана;0;0;0;0;0;0
159;https://productcenter.ru/producers/26929/primo-dado;Primo Dado;Костюм зайчика;Майка;Слип;Футболка;0;0;0;0;0;0
160;https://productcenter.ru/producers/28217/zlatoustovskoie-oruzhieinoie-priedpriiatiie-arsienal;Златоустовское оружейное предприятие «АРСЕНАЛ»;Икорница “Дары моря”;Набор Водочный «Мужской»;Кофейный набор « Лазурит»;0;0;0;0;0;0;0
161;https://productcenter.ru/producers/23526/ooo-npo-tsientr-proton;Производитель охранных систем «Центр-Протон»;Wi-Fi-каналы «Протон Wi-Fi»;Клавиатуры для управления объектовыми приборами;Передатчики по GSM-каналу;0;0;0;0;0;0;0
162;https://productcenter.ru/producers/19635/komfort;Бумажный комбинат «Комфорт».;Салфетки «Picnik white».;Туалетная бумага «Picnic Аroma».;Туалетная бумага белая 12 рулонов.;0;0;0;0;0;0;0
163;https://productcenter.ru/producers/19207/ailiuli-rf;Производитель одежды «Айлюли»;Костюм домашний детский;Комплект белья детский;Платья для девочек «Айлюли»;0;0;0;0;0;0;0
164;https://productcenter.ru/producers/18915/kamietierra;Производственная компания «Каметерра »;Термопанели фасадные с керамогранитом;Декоративный искусственный камень в плитках;Декоративный кирпич «Каметерра»;0;0;0;0;0;0;0
165;https://productcenter.ru/producers/18847/os-giel;ЭКО средства  «ОС ГЕЛЬ»;КОНДИЦИОНЕР для МАЛЫШЕЙ и АЛЛЕРГИКОВ;Спрей для КУХНИ;ОС ГЕЛЬ для мытья посуды в посудомоечных машинах;для ПОСУДЫ ОВОЩЕЙ И ФРУКТОВ;для стирки БЕЛОГО БЕЛЬЯ;Средство от ЗАСОРОВ;Спрей для ванной;для стирки ВСЕХ ВИДОВ ТКАНЕЙ;для МАЛЫШЕЙ И АЛЛЕРГИКОВ;для стирки СЛОЖНЫХ ЗАГРЯЗНЕНИЙ И СПЕЦОДЕЖДЫ
166;https://productcenter.ru/producers/15855/ooo-alfa-stroi;ООО «Альфа-Строй«;Изготовление и монтаж кровельных систем;Отделочные элементы фасада;Металлическая фальцевая кровля;0;0;0;0;0;0;0
167;https://productcenter.ru/producers/15271/ooo-mtr-siervis;ООО «МТР-Сервис«, г.Челябинск;Рукава высокого давления;Асбестотехнические изделия;Резинотехнические изделия;0;0;0;0;0;0;0
168;https://productcenter.ru/producers/12147/kompaniia-sladkii-kondi;Компания «Сладкий Конди»;Вафли миниатюрные «Колибри»;Вафли в шоколадной глазури;Вафельное пирожное фасованное;0;0;0;0;0;0;0
169;https://productcenter.ru/producers/11522/proizvoditiel-kotlov-ochag;Производитель котлов «Очагъ»;Водогрейные многотопливные котлы;Промышленные отопительные пиролизные котлы;Бытовые водогрейные котлы;0;0;0;0;0;0;0
170;https://productcenter.ru/producers/11442/gruppa-kompanii-standart-group;Группа Компаний «Standart group»;Акустическое звукопрозрачное декоративное покрытие;Шумоизоляция для автомобиля;Виброизоляция для автомобиля;0;0;0;0;0;0;0
171;https://productcenter.ru/producers/10604/priedpriiatiie-abraziv;Предприятие «Абразив»;Бруски для заточки ножей;Круги шлифовальные абразивные;Головки шлифовальные ГОСТ;0;0;0;0;0;0;0
172;https://productcenter.ru/producers/9973/fabrika-miassfurnitura;Фабрика «МИАССФУРНИТУРА»;Регуляторы ленты для бюстгальтеров;Вешалки-крючки для швейных изделий;Вешалки для белья и детской одежды;0;0;0;0;0;0;0
173;https://productcenter.ru/producers/9701/kompaniia-kusa-kamien;Компания «Куса камень»;Каменные шкатулки-комоды;Письменные приборы из натурального камня;Каменные шкатулки с росписью;0;0;0;0;0;0;0
174;https://productcenter.ru/producers/8799/gruppa-kompanii-iunistim;Группа компаний Юнистим, г.Миасс;передвижной парогенератор UNISTEAM-M;Стационарный промышленный парогенератор серии UNISTEAM-S (Стационарная парогенераторная установка-СПУ);Стационарный промышленный парогенератор серии «UNISTEAM-X»;0;0;0;0;0;0;0
175;https://productcenter.ru/producers/8511/ooo-zielienyie-tiekhnologii;ООО «Зеленые технологии»;Минеральные и органические удобрения;Агровермикулит;Вермикулит вспученный;0;0;0;0;0;0;0
176;https://productcenter.ru/producers/8317/zao-insi;Группа компаний «ИНСИ»;Металлический штакетник (евроштакетник);Оцинкованный гнутый термопрофиль;Вентилируемые фасадные панели;0;0;0;0;0;0;0
177;https://productcenter.ru/producers/8071/avtotieplo;Автотепло;Чехлы для газовых баллонов;Автотепло для аккумулятора;Автотепло утеплитель для двигателя;0;0;0;0;0;0;0
178;https://productcenter.ru/producers/7326/miasskaia-trikotazhnaia-fabrika-allene;Миасская трикотажная фабрика «Allene»;Сувенирная трикотажная продукция;Женские трикотажные юбки;Женские жакеты и костюмы;0;0;0;0;0;0;0
179;https://productcenter.ru/producers/7204/miekhovaia-fabrika-dionisiia;Меховая фабрика «Дионисия»;Осенние куртки для мальчиков;Мужские кожаные куртки;Женские зимние куртки из кожи;0;0;0;0;0;0;0
180;https://productcenter.ru/producers/6695/mizapromiet;«Мизапромет»;Монтажный профиль.;Фасадный профиль;Армирующий профиль;0;0;0;0;0;0;0
181;https://productcenter.ru/producers/6662/kompaniia-sonata-ip-bazdrin-i-s;Компания «Соната» (ИП Баздрин И.С.);Беспружинные матрасы «Соната»;Матрасы с независимым пружинным блоком;Матрасы с пружинным блоком Боннель;0;0;0;0;0;0;0
182;https://productcenter.ru/producers/6656/fabrika-kovanoi-i-mietallichieskoi-miebieli-fierro-dizain;Фабрика кованой и металлической мебели «Ферро Дизайн»;Секции кованого забора с декоративными элементами;Декоративные садовые арки;Кованые диваны и кресла;0;0;0;0;0;0;0
183;https://productcenter.ru/producers/6551/khudozhiestviennaia-mastierskaia-maok;Художественная мастерская МАОК;Часы настольные «Ротонда»;Подсвечники из природного камня;Водочные наборы из нефрита;0;0;0;0;0;0;0
184;https://productcenter.ru/producers/6541/khudozhiestviennaia-mastierskaia-uralskaia-bronza;Художественная мастерская «Уральская Бронза»;Подсвечники бронзовые серия «Знаки зодиака»;Скульптурные композиции из бронзы;Шкатулки из бронзового литья с природным камнем;0;0;0;0;0;0;0
185;https://productcenter.ru/producers/6279/kompaniia-tiekhnopak;ПФ «Уралгофропак»;Упаковка из пятислойного гофрокартона;Полноцветная картонная упаковка;Коробки для пиццы из микрогофрокартона;0;0;0;0;0;0;0
186;https://productcenter.ru/producers/6046/proizvodstvienno-khudozhiestviennaia-mastierskaia-a-elit;Производственно-художественная мастерская «А-Элит»;Сувенирные статуэтки из бронзы;Бронзовые ложки для обуви;Письменные наборы по профессиям;0;0;0;0;0;0;0
187;https://productcenter.ru/producers/5856/ooo-vitim;ООО «ВИТИМ»;Профиль для монтажа пластиковых окон;Пластиковые жесткие уголки;Стеновые пластиковые панели;0;0;0;0;0;0;0
188;https://productcenter.ru/producers/5738/trikotazhnaia-fabrika-libierti;Трикотажная фабрика «Либерти»;Жакеты для школьников;Детские жилеты на пуговицах;Мужские джемпера коллекции «Осень-весна»;0;0;0;0;0;0;0
189;https://productcenter.ru/producers/5730/shvieinaia-fabrika-siluet;Швейная фабрика «Силуэт»;Женское утягивающее белье;Женские ночные сорочки;Комплекты нижнего белья;0;0;0;0;0;0;0
190;https://productcenter.ru/producers/5726/ooo-magnat-plius;ООО «Магнат-плюс»;Гели для душа «Dias»;Концентрированные кондиционеры-ополаскиватели «Dias»;Чистящие средства «TEKSANIT» GEL;0;0;0;0;0;0;0
191;https://productcenter.ru/producers/5642/chieliabinskaia-trikotazhnaia-fabrika;Челябинская трикотажная фабрика;Мужские футболки и поло;Теплые джемперы для мальчиков;Модные мужские джемперы;0;0;0;0;0;0;0
192;https://productcenter.ru/producers/5223/eliektrotiekhnichieskii-zavod-uraleliektro;Электротехнический завод «Уралэлектро», г.Магнитогорск;Многокоординатные системы позиционирования;Линейные синхронные серводвигатели;Электродвигатели для привода редукторов;0;0;0;0;0;0;0
193;https://productcenter.ru/producers/5143/fabrika-pravilnaia-miebiel;Фабрика «Правильная мебель»;Диваны для кухни фабрики «Правильная мебель»;Прямые диваны фабрики «Правильная мебель»;Угловые диваны фабрики «Правильная мебель»;0;0;0;0;0;0;0
194;https://productcenter.ru/producers/5088/shvieinaia-fabrika-appariel;Швейная фабрика «Аппарель», г.Челябинск;Спортивная корпоративная одежда;Игровая спортивная одежда для футбола;Игровая спортивная одежда для баскетбола;0;0;0;0;0;0;0
195;https://productcenter.ru/producers/3701/ooo-altiernativa;Компания «Перлит Групп»;Перлит для фильтрации;Перлит для растений;Вермикулит для теплоизоляции;0;0;0;0;0;0;0
196;https://productcenter.ru/producers/3606/tm-ekoroll;Производитель изоляции «ЭКОРОЛЛ»;Быстросъемная изоляция (термочехлы);Цилиндры теплоизоляционные для труб;Насыпной утеплитель (насыпная вата);0;0;0;0;0;0;0
197;https://productcenter.ru/producers/3463/elproled;elproLED;Аварийный светодиодный светильник ПСС-600-30-БАП;Уличные светодиодные светильники КСУ;Промышленные светодиодные светильники ПССП;Офисные светодиодные светильники ПСС-600-ПРЕМИУМ;0;0;0;0;0;0
198;https://productcenter.ru/producers/2708/ooo-npk-entiek;Производственная компания «Энтек»;Дизельные приводы от ТМ «Энтек»;Дизель-генераторные установки;Газопоршневая электростанция ГПЭС100-NEXT;0;0;0;0;0;0;0
199;https://productcenter.ru/producers/2392/td-uralavto;Завод автозапчастей «УралВал», г.Миасс;Ступица колеса для УРАЛ;Лебедки на УРАЛ;Запчасти двигателя УРАЛ;0;0;0;0;0;0;0
200;https://productcenter.ru/producers/899/ooo-kamtient;Производитель тентов «КАМТЕНТ»;Модульные сборно-разборные ангары;Павильоны тентовые торговые;Тенты для грузовых автомобилей;0;0;0;0;0;0;0
201;https://productcenter.ru/producers/25642/artbeton174;artbeton174;Каменная голова .;Кашпо;Кашпо.;Горшок кашпо для растений;0;0;0;0;0;0
202;https://productcenter.ru/producers/14965/ozierskaia-liesopromyshliennaia-kompaniia;«Озерская лесопромышленная компания»;Черника натуральная замороженная;Замороженные овощные смеси;Грибы натуральные замороженные;0;0;0;0;0;0;0
203;https://productcenter.ru/producers/9978/fabrika-miebieli-artwood;Фабрика мебели «ARTWOOD»;Стол кухонный Остин;Стол кухонный Оливер;Обеденные группы с диваном;Обеденные группы с искусственным старением;0;0;0;0;0;0
204;https://productcenter.ru/producers/6539/po-im-bushuieva;ПО им. Бушуева;Муфты сухие с бесконтактным токоподводом;Муфты электромагнитные фрикционные многодисковые;Штампы (оснастка) к прессам для металлообработки;0;0;0;0;0;0;0
205;https://productcenter.ru/producers/6484/ip-usova-iu-a;ИП Усова Ю.А., г.Челябинск;Сушилка барабанная;Барабанное сито;Вибросито;Сито для червя;Грохот инерционный легкого типа ГИЛ;ГИЛ легкого типа;Дровоколы с электрическим и бензиновым приводом;Виброгрохоты инерционные легкого типа;Вакуумно-формовочный станок (для формовки пластика);0
206;https://productcenter.ru/producers/544/danilamaster;Компания «ДанилаMASTER»;Жалюзи на пластиковые окна;Рольставни защитные жалюзи;Сетка противомоскитная;Москитные сетки;Фотожалюзи рулонные на пластиковые окна;Кассетные жалюзи на пластиковые окна;Горизонтальные жалюзи на пластиковые окна;Мультифактурные жалюзи;Рулонные жалюзи на пластиковые окна;Жалюзи вертикальные
207;https://productcenter.ru/producers/20749/ooo-mietalltieidkepital;ООО «Евразийский станкостроительный завод»;СТАНОК ВЕРТИКАЛЬНЫЙ КОНСОЛЬНО-ФРЕЗЕРНЫЙ КС6Ф1;КОНСОЛЬНО-ФРЕЗЕРНЫЙ СТАНОК КС6МФ3 С ЧПУ;ТОКАРНО-ВИНТОРЕЗНЫЙ СТАНОК КС40Ф1;Токарный станок с ЧПУ КС40Ф3;ТОКАРНО-ТРУБОРЕЗНЫЙ СТАНОК КСТ983Ф3;0;0;0;0;0
208;https://productcenter.ru/producers/19865/riesursy-urala;Компания «Ресурсы Урала», г.Челябинск;Композитные лопатки для вакуумных насосов, оксафен;Вакуумные подушки (модули, присоски) для станков;Графитовые лопатки для вакуумных насосов;Вакуумные присоски для станков ЧПУ;Держатель инструмента ISO-40 для станков Интермак;0;0;0;0;0
209;https://productcenter.ru/producers/13525/pk-arna;ПК АРНА, г.Челябинск;Машина для резки труб Орбита-РМ;Центратор звенный наружный (ЦЗН);0;0;0;0;0;0;0;0
210;https://productcenter.ru/producers/10704/zlatoustovskii-mashinostroitielnyi-zavod;«Златоустовский машиностроительный завод»;Алюминиевый профиль по чертежам заказчика;Алюминиевый радиатор Термал РАППТ 300, 500;Настольные газовые плиты Мечта;Настольные электрические плиты Мечта;Алюминиевый радиатор Термал РАП 300, 500;Электрические бытовые плиты «Мечта»;0;0;0;0
211;https://productcenter.ru/producers/5944/atielie-goodinstudio;Ателье «GOODINSTUDIO»;Галстуки-бабочки Goodin;Узкие галстуки Goodin;0;0;0;0;0;0;0;0
212;https://productcenter.ru/producers/1827/ooo-elita74;ООО «Элита74»;Костюм рабочий «Интер»;Костюм медицинский;Рабочая спецодежда;0;0;0;0;0;0;0
213;https://productcenter.ru/producers/1266/ooo-stroiindustriia-2000;ООО "Стройиндустрия 2000";Фасадный колотый кирпич;Фасадный колотый камень;Дождеприемник с чугунной решеткой;Бордюр 50×21×7 см вибролитой;Вибролитая плитка толщиной от 4 до 6 см;0;0;0;0;0
214;https://productcenter.ru/producers/1264/ooo-uralskii-zavod-polimiernykh-izdielii;ООО «Уральский завод полимерных изделий»;Фасонные части из полиэтилена для водоснабжения ПЭ-80 и ПЭ-100;Неразъемные соединения полиэтилен-сталь ПЭ-80 и ПЭ-100;Полиэтиленовые трубы технические безнапорные;Полиэтиленовые трубы ПНД для водоснабжения;Трубы-оболочки из полиэтилена низкого давления (ПНД);0;0;0;0;0
215;https://productcenter.ru/producers/938/anturazh;Антураж;ФОТОжалюзи с рисунком вертикальные;ФОТОЖАЛЮЗИ на пластиковые окна рулонные;Рулонные шторы на окна СТАНДАРТ;Жалюзи рулонные на пластиковые окна УНИ;Жалюзи рулонные МИНИ открытого типа;0;0;0;0;0
216;https://productcenter.ru/producers/28762/tm-kopieiskii-plastik;ТМ «Копейский пластик»;Пленки ламинированные;Барьерные пленки;Пакет вакуумный РА/РЕ 300*400;0;0;0;0;0;0;0
217;https://productcenter.ru/producers/25973/ooo-pk-inzier;ООО ПК «Инзер», г.Челябинск;Штанга буровая, буровые замки;0;0;0;0;0;0;0;0;0
218;https://productcenter.ru/producers/24181/td-uralprotiekt;«ТД «Уралпротект»;Лосьон для рук антисептический «Clear Protect»;0;0;0;0;0;0;0;0;0
219;https://productcenter.ru/producers/20402/ip-turaiev-abboskhon;ИП Тураев Аббосхон;Восточная халва «Ассорти» 500 гр.;0;0;0;0;0;0;0;0;0
220;https://productcenter.ru/producers/17378/gruppa-kompanii-zdorovaia-fierma;Группа Компаний «Здоровая Ферма»;Фарш мясной в упаковке;Свинина фасованная охлажденная;Мясо куриное в упаковке;0;0;0;0;0;0;0
221;https://productcenter.ru/producers/14955/ooo-pf-iriemiel;ООО ПФ «Иремель»;Самаркандская халва в ассортименте;0;0;0;0;0;0;0;0;0
222;https://productcenter.ru/producers/11739/lavka-bazhova-izdieliia-iz-uralskogo-kamnia;«Лавка Бажова»;Икона «Николай Чудотворец»;Часы «Евро»;Шкатулка из уральских самоцветов;0;0;0;0;0;0;0
223;https://productcenter.ru/producers/8538/galieon-gp;Завод Современного Промышленного Оборудования, ООО;Краны мостовые (кран-балки);Лебедки электрические;Стропы цепные;0;0;0;0;0;0;0
224;https://productcenter.ru/producers/6739/miasskii-mashinostroitielnyi-zavod;Миасский машиностроительный завод, г.Миасс;Емкости подземные;Алюминиевые понтоны;Светодиодные светильники;0;0;0;0;0;0;0
225;https://productcenter.ru/producers/3504/promavtotrans;Промавтотранс, г.Миасс;Лесовоз Урал 55571-70 с прицепом-роспуском и манипулятором ОМТЛ-97;0;0;0;0;0;0;0;0;0
226;https://productcenter.ru/producers/555/fotozhaliuzi-mastierskaia;Фотожалюзи Мастерская;Кассетные фотожалюзи;Жалюзи с логотипом;Жалюзи для детской комнаты;Фотожалюзи;0;0;0;0;0;0
