1;https://productcenter.ru/producers/22334/ooo-palanzh;Российский завод полимерных труб Паланж;Пресс-фитинг угольник Palanzh (Паланж);Пресс-фитинг тройник Palanzh (Паланж);Пресс-фитинг прямой Palanzh (Паланж);Труба из термостойкого полиэтилена Pert;Металлопластиковая труба Pex-al-Pex Palanzh;Труба из сшитого полиэтилена Pex Palanzh;Металлопластиковая труба Pert-al-Pert Palanzh;0;0;0
55;https://productcenter.ru/producers/2884/mir-dietstva;Производитель детских площадок «Мир детства», г.Магнитогорск;Вагончики строительные;Гаражи;Контейнеры для ТБО;Зимние горки;Оборудование для спортивных площадок;Оборудование для детских площадок;0;0;0;0
56;https://productcenter.ru/producers/1265/zao-chieliabinskii-zavod-mietallokonstruktsii;ЗАО "Челябинский завод металлоконструкций", г.Челябинск;Опоры ЛЭП, Мачты, Вышки;Строительные металлоконструкции;0;0;0;0;0;0;0;0
57;https://productcenter.ru/producers/6655/proizvoditiel-stankov-ooo-mastierstan;Производитель станков ООО «Мастерстан»;Прокатные станы для изготовления профнастила;Станки для производства сетки-рабицы;Оборудование для плазменной резки с ЧПУ;0;0;0;0;0;0;0
58;https://productcenter.ru/producers/2725/ooo-arosa;ООО «АРОСА», г.Челябинск;Лабораторная мебель;Лабораторные столы, шкафы, мойки Ароса Челябинск;Лабораторная металлическая мебель;Медицинская металлическая мебель;Мебель для кабинетов химии, физики, биологии;0;0;0;0;0
59;https://productcenter.ru/producers/29213/art-profil;ООО ТК «Руспрофиль»;Мебельный профиль;Дверной погонаж;Межкомнатные двери;0;0;0;0;0;0;0
60;https://productcenter.ru/producers/20636/shvieinaia-fabrika-monarkh;Фабрика Монарх, г.Челябинск;Подушка для беременных Комфорт;Детское постельное белье в кроватку Ночь;Конверт-одеяло на выписку;Комплект в детскую кроватку Зоопарк;Комплект в детскую кроватку Кис-Кис;0;0;0;0;0
61;https://productcenter.ru/producers/8123/ooo-erdo;Производственное предприятие ООО «ЭРДО», г.Миасс;ТЭНы;Электроконвектор;электрокотёл отопительный;0;0;0;0;0;0;0
62;https://productcenter.ru/producers/6664/ooo-advantis;ООО «Адвантис»;Пояс согревающий из овечьей шерсти;Домашняя обувь из овечьей шерсти;Одноразовые тапочки для саун;0;0;0;0;0;0;0
63;https://productcenter.ru/producers/2581/ooo-botkraft;ООО "БОТКРАФТ", г.Челябинск;Стеклопластиковая лодка «Лейкбот-S»;Лодка «Лейкбот-240»;Мотолодка «Лоцман-530»;Катамаран «Футрафт»;Челябинская лодка «Триумф-360»;Катамаран «Классик»;Лодка «Лейкбот-360»;0;0;0
64;https://productcenter.ru/producers/69/uralskii-zavod-stroitielnoi-industrii-zao;«Уральский завод стройиндустрии»;Сэндвич-панели с декоративными облицовками;Сэндвич-панели для фасада;Сэндвич-панели трехслойные;0;0;0;0;0;0;0
65;https://productcenter.ru/producers/28234/nadiezhnyi-postavshchik;ООО «Надежный поставщик»;Ящик деревянный по ГОСТ;Поддон деревянный 1200*800 по ГОСТ;0;0;0;0;0;0;0;0
66;https://productcenter.ru/producers/25628/uralskii-ivan-chai;ТМ «Уральский Иван-чай»;Иван-чай в пластиковом пакете;Иван-чай с душицей, в фильтр-пакетах;Иван-чай с цветами кипрея ферментированный;0;0;0;0;0;0;0
67;https://productcenter.ru/producers/24994/ooo-uralmietallriesurs;ООО УралМеталлРесурс, г.Челябинск;Лазерная резка металла;Стопорное кольцо;Пружины и металлоизделия;0;0;0;0;0;0;0
68;https://productcenter.ru/producers/18901/soiuzpishchieprom;Союзпищепром;Мука В/С, 1/С ,  мука ржаная обдирная;Комбикорм-концентрат КК60-3-400 для высокопродуктивных коров (протеин 18%);0;0;0;0;0;0;0;0
69;https://productcenter.ru/producers/21845/vostochnyi-dom-sladostiei;Восточный Дом Сладостей;Рахат Лукум;Самаркандская халва фасованная;Самаркандская халва;Халва «Восточный дом сладостей»;0;0;0;0;0;0
70;https://productcenter.ru/producers/21083/ooo-vottlier-rus-proizvoditiel-shieikierov-v-rossii;ShakerBottle производитель;Шейкер для спортивного питания, модель С04.;Шейкер для спортивного питания, модель С03.;Шейкер для спортивного питания, модель С02.;Шейкер для спортивного питания, модель С01.;0;0;0;0;0;0
71;https://productcenter.ru/producers/30720/uraltrubodietal;УралТрубоДеталь, г.Челябинск;Заглушка стальная для трубопровода;Отвод стальной;Тройники штампованные;0;0;0;0;0;0;0
72;https://productcenter.ru/producers/29522/ooo-dizain-kamien;ООО «Дизайн-Камень»;Крошка мраморная белая;Яшма галтованная;Брусчатка из кварцита 100х100х(30-40)мм;0;0;0;0;0;0;0
